order_id,customer_id,email,msisdn,tenant_id,unit_price_cents,qty,amount_cents,region
38,1086,user95@example.co.ke,254797908110,initech,5000,5,25000,EA
39,1050,user51@example.co.ke,254785064182,acme,150,4,600,WA
40,1061,user82@example.co.ke,254723896513,globex,1200,4,4801,WA
41,1008,user27@example.co.ke,254735583179,initech,1200,1,1200,WA
42,1043,user77@example.co.ke,254724754327,acme,1200,2,2400,EA
43,1072,user20@example.co.ke,254710031310,globex,150,1,150,EA
44,1078,user4@example.co.ke,254758802897,initech,5000,1,5000,EA
45,1048,user20@example.co.ke,254792418944,acme,150,2,300,WA
46,1046,user61@example.co.ke,254790836544,globex,450,3,1350,WA
47,1059,user62@example.co.ke,254775507385,initech,150,1,150,WA
48,1018,user14@example.co.ke,254721527244,acme,1200,3,3600,EA
49,1106,user89@example.co.ke,254774239549,globex,450,3,1350,EA
50,1026,user68@example.co.ke,0713099855,initech,200,5,1000,EA
51,1117,user4@example.co.ke,254782903368,acme,450,2,900,WA
52,1110,user12@example.co.ke,254796290869,globex,5000,3,15000,WA
53,1116,user22@example.co.ke,254759217612,initech,450,5,2250,WA
54,1069,user100@example.co.ke,254781483341,acme,450,2,900,EA
55,1028,user79@example.co.ke,254795421789,globex,5000,3,15000,EA
56,1094,user103@example.co.ke,254763778945,initech,200,2,400,EA
57,1063,user46@example.co.ke,254779476293,acme,200,2,400,WA
58,1060,user34@example.co.ke,254747502921,globex,150,1,150,WA
59,1057,user104@example.co.ke,254756208603,initech,200,5,1000,WA
60,1028,user14@example.co.ke,254720809644,acme,450,3,1350,EA
61,1043,user27@example.co.ke,254736401454,globex,200,4,800,EA
62,1107,user1@example.co.ke,254791907998,initech,1200,5,6000,EA
63,1010,user107@example.co.ke,254796319863,acme,1200,3,3600,WA
64,1061,user114@example.co.ke,254736752197,globex,150,4,600,WA
65,1042,user12@example.co.ke,254795341298,initech,200,4,800,WA
66,1095,user11@example.co.ke,254763873226,acme,1200,4,4800,EA
67,1003,user20@example.co.ke,254727050801,globex,200,2,400,EA
68,1018,user79@example.co.ke,254798027796,initech,5000,4,20000,EA
69,1119,user45@example.co.ke,254798217056,acme,5000,4,20000,WA
70,1016,user3@example.co.ke,254783589642,globex,200,5,1000,WA
71,1095,user120@example.co.ke,254780676511,initech,150,1,150,WA
72,1105,user112@example.co.ke,254736146343,acme,200,4,800,EA
73,1027,user38@example.co.ke,254743800696,globex,200,1,200,EA
74,1041,user34@example.co.ke,254788710264,initech,5000,2,10000,EA
75,1007,user117@example.co.ke,0727592411,acme,5000,4,20000,WA
76,1074,user105@example.co.ke,254798915866,globex,450,4,1800,WA
77,1016,user69@example.co.ke,254777330181,initech,5000,4,20000,WA
78,1002,user112@example.co.ke,254778524460,acme,200,5,1000,EA
79,1000,user100@example.co.ke,254791678821,globex,1200,2,2400,EA
80,1060,user80@example.co.ke,254728999723,initech,200,2,401,EA
81,1041,user88@example.co.ke,254718288654,acme,150,5,750,WA
82,1061,user101@example.co.ke,254784550146,globex,5000,5,25000,WA
83,1031,user25@example.co.ke,254717626596,initech,150,5,750,WA
84,1064,user58@example.co.ke,254723119148,acme,450,1,450,EA
85,1056,user42@example.co.ke,254718505221,globex,5000,1,5000,EA
86,1065,user26@example.co.ke,254791354422,initech,5000,5,25000,EA
87,1068,user104@example.co.ke,254778203564,acme,450,4,1800,WA
88,1089,user67@example.co.ke,254743239798,globex,1200,5,6000,WA
89,1107,user58@example.co.ke,254737190971,initech,450,5,2250,WA
90,1050,user57@example.co.ke,254726323822,acme,200,4,800,EA
91,1054,user10@example.co.ke,254742297987,globex,450,1,450,EA
92,1114,user100@example.co.ke,254726421523,initech,200,3,600,EA
93,1032,user114@example.co.ke,254729190316,acme,200,3,600,WA
94,1095,user13@example.co.ke,254739472579,globex,200,4,800,WA
95,1085,user107@example.co.ke,254731849997,initech,1200,4,4800,WA
96,1065,user52@example.co.ke,254767917877,acme,200,2,400,EA
97,1045,user41@example.co.ke,254736272404,globex,450,4,1800,EA
98,1043,user71@example.co.ke,254712614954,initech,150,3,450,EA
99,1049,user43@example.co.ke,254712426922,acme,1200,4,4800,WA
100,1065,user9@example.co.ke,0749655179,globex,5000,5,25000,WA
101,1010,user34@example.co.ke,254724063279,initech,150,2,300,WA
102,1034,user97@example.co.ke,254734367415,acme,450,1,450,EA
103,1051,user20@example.co.ke,254744709914,globex,200,4,800,EA
104,1063,user90@example.co.ke,254786583954,initech,5000,5,25000,EA
105,1007,user103@example.co.ke,254747455108,acme,450,1,450,WA
106,1034,user3@example.co.ke,254719719255,globex,200,4,800,WA
107,1077,user110@example.co.ke,254721239731,initech,150,3,450,WA
108,1110,user16@example.co.ke,254745494011,acme,200,1,200,EA
109,1070,user54@example.co.ke,254755520180,globex,1200,1,1200,EA
110,1005,user68@example.co.ke,254727344259,initech,450,5,2250,EA
111,1033,user7@example.co.ke,254731669330,acme,200,1,200,WA
112,1080,user40@example.co.ke,254751874911,globex,200,2,400,WA
113,1057,user65@example.co.ke,254748917884,initech,5000,2,10000,WA
114,1102,user3@example.co.ke,254756573688,acme,200,3,600,EA
115,1002,user94@example.co.ke,254712059721,globex,450,1,450,EA
116,1065,user61@example.co.ke,254735428420,initech,5000,5,25000,EA
117,1084,user105@example.co.ke,254724264840,acme,200,4,800,WA
118,1106,user114@example.co.ke,254783270296,globex,1200,4,4800,WA
119,1088,user28@example.co.ke,254751309941,initech,1200,5,6000,WA
120,1106,user113@example.co.ke,254736658926,acme,200,3,601,EA
121,1006,user108@example.co.ke,254756647663,globex,200,4,800,EA
122,1080,user95@example.co.ke,254719492255,initech,200,1,200,EA
123,1007,user11@example.co.ke,254731910577,acme,450,4,1800,WA
124,1036,user77@example.co.ke,254799998797,globex,1200,5,6000,WA
125,1058,user24@example.co.ke,0716071673,initech,200,3,600,WA
126,1000,user34@example.co.ke,254769837566,acme,200,3,600,EA
127,1041,user32@example.co.ke,254783426945,globex,450,3,1350,EA
128,1045,user24@example.co.ke,254739241460,initech,150,3,450,EA
129,1010,user61@example.co.ke,254761221056,acme,150,3,450,WA
130,1025,user32@example.co.ke,254798049228,globex,450,5,2250,WA
131,1033,user105@example.co.ke,254722193908,initech,5000,1,5000,WA
132,1075,user6@example.co.ke,254763621481,acme,150,2,300,EA
133,1038,user81@example.co.ke,254750217813,globex,1200,1,1200,EA
134,1067,user110@example.co.ke,254788595657,initech,200,1,200,EA
135,1097,user42@example.co.ke,254762280015,acme,200,5,1000,WA
136,1092,user80@example.co.ke,254748141534,globex,1200,2,2400,WA
137,1080,user55@example.co.ke,254778851172,initech,200,1,200,WA
138,1096,user65@example.co.ke,254780297512,acme,5000,2,10000,EA
139,1102,user115@example.co.ke,254788391409,globex,5000,1,5000,EA
140,1005,user18@example.co.ke,254714182295,initech,200,1,200,EA
141,1106,user58@example.co.ke,254760548847,acme,450,1,450,WA
142,1002,user81@example.co.ke,254794257475,globex,5000,1,5000,WA
143,1033,user1@example.co.ke,254775671971,initech,5000,2,10000,WA
144,1114,user69@example.co.ke,254777507631,acme,1200,1,1200,EA
145,1095,user95@example.co.ke,254718865128,globex,150,5,750,EA
146,1108,user34@example.co.ke,254719992509,initech,1200,3,3600,EA
147,1094,user84@example.co.ke,254740968878,acme,200,2,400,WA
148,1009,user62@example.co.ke,254761346398,globex,1200,4,4800,WA
149,1080,user83@example.co.ke,254792808850,initech,450,1,450,WA
150,,user19@example.co.ke,0790491079,acme,200,1,200,EA
151,1095,user89@example.co.ke,254797447461,globex,450,3,1350,EA
152,1017,user2@example.co.ke,254786203685,initech,450,5,2250,EA
153,1034,user87@example.co.ke,254775202710,acme,1200,1,1200,WA
154,1037,user91@example.co.ke,254775714920,globex,150,2,300,WA
155,1059,user60@example.co.ke,254772365992,initech,5000,3,15000,WA
156,1039,user11@example.co.ke,254736742886,acme,150,5,750,EA
157,1058,user10@example.co.ke,254748867961,globex,1200,1,1200,EA
158,1049,user27@example.co.ke,254746058564,initech,5000,4,20000,EA
159,1011,user19@example.co.ke,254788043900,acme,200,1,200,WA
160,1016,user78@example.co.ke,254758258464,globex,5000,3,15001,WA
161,1090,user47@example.co.ke,254725123326,initech,5000,3,15000,WA
162,1050,user4@example.co.ke,254775248694,acme,200,4,800,EA
163,1087,user58@example.co.ke,254775994334,globex,200,1,200,EA
164,1053,user45@example.co.ke,254728885403,initech,1200,3,3600,EA
165,1107,user43@example.co.ke,254726228178,acme,1200,3,3600,WA
166,1107,user51@example.co.ke,254755402183,globex,150,3,450,WA
167,1115,user95@example.co.ke,254711573248,initech,150,2,300,WA
168,1008,user51@example.co.ke,254759958791,acme,450,3,1350,EA
169,1046,user119@example.co.ke,254720254327,globex,1200,5,6000,EA
170,1035,user14@example.co.ke,254716478434,initech,1200,3,3600,EA
171,1119,user20@example.co.ke,254795223357,acme,150,3,450,WA
172,1065,user41@example.co.ke,254768551241,globex,200,3,600,WA
173,1113,user4@example.co.ke,254767411315,initech,200,3,600,WA
174,1026,user93@example.co.ke,254783716154,acme,1200,5,6000,EA
175,1057,user79@example.co.ke,0765148187,globex,150,1,150,EA
176,1006,user117@example.co.ke,254775172784,initech,200,3,600,EA
177,1060,user54@example.co.ke,254732919395,acme,5000,2,10000,WA
178,1032,user95@example.co.ke,254749966263,globex,450,3,1350,WA
179,1030,user39@example.co.ke,254798046202,initech,450,4,1800,WA
180,1050,user16@example.co.ke,254799775015,acme,1200,5,6000,EA
181,1026,user65@example.co.ke,254720089226,globex,200,2,400,EA
182,1057,user117@example.co.ke,254739531289,initech,1200,5,6000,EA
183,1017,user71@example.co.ke,254767367747,acme,450,4,1800,WA
184,1022,user44@example.co.ke,254722175495,globex,200,2,400,WA
185,1030,user48@example.co.ke,254752854075,initech,5000,1,5000,WA
186,1113,user3@example.co.ke,254737131018,acme,450,5,2250,EA
187,1095,user68@example.co.ke,254765550512,globex,1200,4,4800,EA
188,1043,user97@example.co.ke,254746270978,initech,200,4,800,EA
189,1073,user47@example.co.ke,254747247613,acme,150,4,600,WA
190,1080,user102@example.co.ke,254781031470,globex,200,5,1000,WA
191,1114,user32@example.co.ke,254746375806,initech,200,1,200,WA
192,1057,user56@example.co.ke,254796676696,acme,1200,4,4800,EA
193,1004,user55@example.co.ke,254727078806,globex,450,1,450,EA
194,1000,user10@example.co.ke,254775743113,initech,1200,5,6000,EA
195,1057,user32@example.co.ke,254772834219,acme,1200,5,6000,WA
196,1019,user67@example.co.ke,254730720316,globex,150,2,300,WA
197,1070,user100@example.co.ke,254721408960,initech,150,4,600,WA
198,1029,user73@example.co.ke,254726864695,acme,150,1,150,EA
199,1080,user33@example.co.ke,254727175419,globex,150,3,450,EA
200,1012,user10@example.co.ke,0725050194,initech,5000,4,20001,EA
201,1024,user50@example.co.ke,254788234302,acme,450,5,2250,WA
202,1000,user2@example.co.ke,254790673028,globex,450,2,900,WA
203,1035,user41@example.co.ke,254771832849,initech,5000,3,15000,WA
204,1030,user71@example.co.ke,254780635798,acme,200,4,800,EA
205,1090,user84@example.co.ke,254765272222,globex,200,1,200,EA
206,1024,user64@example.co.ke,254712924253,initech,450,1,450,EA
207,1029,user86@example.co.ke,254744528332,acme,1200,1,1200,WA
208,1063,user5@example.co.ke,254740438711,globex,1200,3,3600,WA
209,1087,user51@example.co.ke,254758629752,initech,450,4,1800,WA
210,1094,user109@example.co.ke,254749206502,acme,200,1,200,EA
211,1063,user26@example.co.ke,254737543972,globex,5000,1,5000,EA
212,1059,user29@example.co.ke,254740978634,initech,450,2,900,EA
213,1079,user64@example.co.ke,254724630814,acme,450,3,1350,WA
214,1062,user54@example.co.ke,254739974058,globex,5000,2,10000,WA
215,1118,user51@example.co.ke,254729647200,initech,150,5,750,WA
216,1076,user19@example.co.ke,254713171392,acme,150,2,300,EA
217,1023,user51@example.co.ke,254718071217,globex,1200,1,1200,EA
218,1010,user120@example.co.ke,254725194192,initech,1200,3,3600,EA
219,1023,user84@example.co.ke,254735593109,acme,200,3,600,WA
220,1039,user86@example.co.ke,254714280698,globex,5000,4,20000,WA
221,1056,user22@example.co.ke,254754519683,initech,1200,3,3600,WA
222,1035,user11@example.co.ke,254720501465,acme,150,1,150,EA
223,1071,user98@example.co.ke,254726603844,globex,450,4,1800,EA
224,1098,user106@example.co.ke,254757865963,initech,200,4,800,EA
225,1006,user91@example.co.ke,0721778983,acme,450,4,1800,WA
226,1069,user118@example.co.ke,254760024878,globex,1200,2,2400,WA
227,1046,user95@example.co.ke,254753393824,initech,1200,2,2400,WA
228,1052,user32@example.co.ke,254794780255,acme,1200,1,1200,EA
229,1004,user60@example.co.ke,254760407838,globex,1200,1,1200,EA
230,1024,user96@example.co.ke,254744496097,initech,150,1,150,EA
231,1046,user35@example.co.ke,254755509142,acme,150,5,750,WA
232,1033,user96@example.co.ke,254715849955,globex,450,5,2250,WA
233,1000,user93@example.co.ke,254749917141,initech,450,3,1350,WA
234,1105,user30@example.co.ke,254713255679,acme,5000,1,5000,EA
235,1099,user50@example.co.ke,254772511088,globex,150,4,600,EA
236,1016,user119@example.co.ke,254776232938,initech,450,4,1800,EA
237,1102,user120@example.co.ke,254711168389,acme,1200,2,2400,WA
238,1030,user42@example.co.ke,254791504283,globex,450,2,900,WA
239,1100,user101@example.co.ke,254758567817,initech,450,4,1800,WA
240,1025,user51@example.co.ke,254778704012,acme,5000,1,5001,EA
241,1008,user84@example.co.ke,254764728187,globex,200,2,400,EA
242,1069,user42@example.co.ke,254784167997,initech,150,4,600,EA
243,1009,user34@example.co.ke,254724122579,acme,200,4,800,WA
244,1012,user54@example.co.ke,254737963061,globex,5000,1,5000,WA
245,1029,user18@example.co.ke,254733245418,initech,1200,4,4800,WA
246,1114,user87@example.co.ke,254793256282,acme,1200,4,4800,EA
247,1097,user16@example.co.ke,254799177643,globex,200,5,1000,EA
248,1072,user35@example.co.ke,254747500018,initech,450,3,1350,EA
249,1025,user57@example.co.ke,254744941579,acme,450,3,1350,WA
250,1030,user20@example.co.ke,0742929017,globex,200,2,400,WA
251,1041,user9@example.co.ke,254735266505,initech,450,5,2250,WA
252,1064,user68@example.co.ke,254743010746,acme,1200,3,3600,EA
253,1059,user5@example.co.ke,254797688005,globex,200,1,200,EA
254,1113,user105@example.co.ke,254773721578,initech,150,1,150,EA
255,1005,user113@example.co.ke,254760180826,acme,200,4,800,WA
256,1006,user25@example.co.ke,254726000985,globex,450,2,900,WA
257,1119,user10@example.co.ke,254736059929,initech,5000,5,25000,WA
258,1057,user78@example.co.ke,254733858409,acme,450,5,2250,EA
259,1081,user77@example.co.ke,254724197559,globex,450,1,450,EA
260,1004,user48@example.co.ke,254739211874,initech,5000,3,15000,EA
261,1026,user33@example.co.ke,254715927931,acme,450,2,900,WA
262,1116,user27@example.co.ke,254797462018,globex,150,5,750,WA
263,1086,user48@example.co.ke,254764894365,initech,150,3,450,WA
264,1009,user27@example.co.ke,254751902202,acme,200,5,1000,EA
265,1061,user9@example.co.ke,254783557332,globex,150,4,600,EA
266,1084,user71@example.co.ke,254763055826,initech,1200,1,1200,EA
267,1083,user21@example.co.ke,254722234294,acme,200,5,1000,WA
268,1036,user86@example.co.ke,254765000937,globex,1200,3,3600,WA
269,1039,user96@example.co.ke,254716893514,initech,450,4,1800,WA
270,1053,user3@example.co.ke,254765576880,acme,5000,3,15000,EA
271,1093,user52@example.co.ke,254762443042,globex,450,2,900,EA
272,1115,user21@example.co.ke,254768272536,initech,200,1,200,EA
273,1051,user74@example.co.ke,254722145096,acme,1200,1,1200,WA
274,1016,user2@example.co.ke,254731816364,globex,450,4,1800,WA
275,1082,user104@example.co.ke,0729125597,initech,150,5,750,WA
276,1079,user119@example.co.ke,254786888572,acme,1200,1,1200,EA
277,1018,user45@example.co.ke,254733043259,globex,450,5,2250,EA
278,1021,user119@example.co.ke,254779948760,initech,450,2,900,EA
279,1062,user97@example.co.ke,254761504006,acme,150,1,150,WA
280,1107,user6@example.co.ke,254726998722,globex,200,3,601,WA
281,1077,user119@example.co.ke,254717163810,initech,1200,3,3600,WA
282,1088,user106@example.co.ke,254793261023,acme,1200,1,1200,EA
283,1051,user79@example.co.ke,254793356334,globex,200,2,400,EA
284,1072,user28@example.co.ke,254734557219,initech,200,4,800,EA
285,1020,user50@example.co.ke,254779510357,acme,150,4,600,WA
286,1031,user93@example.co.ke,254730061140,globex,450,1,450,WA
287,1107,user97@example.co.ke,254785476435,initech,200,1,200,WA
288,1049,user77@example.co.ke,254725801589,acme,150,3,450,EA
289,1099,user40@example.co.ke,254794160208,globex,1200,5,6000,EA
290,1031,user55@example.co.ke,254788198558,initech,1200,3,3600,EA
291,1064,user57@example.co.ke,254769967057,acme,1200,3,3600,WA
292,1079,user63@example.co.ke,254710470848,globex,200,1,200,WA
293,1097,user80@example.co.ke,254769971013,initech,1200,2,2400,WA
294,1051,user14@example.co.ke,254773514358,acme,1200,2,2400,EA
295,1055,user47@example.co.ke,254758127131,globex,150,2,300,EA
296,1065,user85@example.co.ke,254777691645,initech,150,4,600,EA
297,1016,user11@example.co.ke,254795421131,acme,150,1,150,WA
298,1006,user97@example.co.ke,254720733117,globex,450,5,2250,WA
299,1100,user18@example.co.ke,254797610038,initech,5000,4,20000,WA
300,,user94@example.co.ke,0792426297,acme,150,1,150,EA
301,1113,user63@example.co.ke,254727665398,globex,150,2,300,EA
302,1008,user107@example.co.ke,254739679134,initech,450,2,900,EA
303,1020,user42@example.co.ke,254743852498,acme,450,5,2250,WA
304,1018,user33@example.co.ke,254771257352,globex,5000,3,15000,WA
305,1075,user34@example.co.ke,254737960685,initech,5000,4,20000,WA
306,1040,user48@example.co.ke,254741863178,acme,5000,5,25000,EA
307,1051,user21@example.co.ke,254734440563,globex,150,2,300,EA
308,1021,user102@example.co.ke,254760578720,initech,450,3,1350,EA
309,1006,user82@example.co.ke,254781232198,acme,450,1,450,WA
310,1066,user75@example.co.ke,254784515014,globex,450,4,1800,WA
311,1080,user110@example.co.ke,254781900607,initech,150,3,450,WA
312,1048,user48@example.co.ke,254745534696,acme,1200,3,3600,EA
313,1042,user98@example.co.ke,254758352122,globex,5000,2,10000,EA
314,1022,user79@example.co.ke,254740876426,initech,150,4,600,EA
315,1032,user40@example.co.ke,254779270678,acme,150,3,450,WA
316,1095,user5@example.co.ke,254710240379,globex,5000,3,15000,WA
317,1078,user81@example.co.ke,254749053549,initech,200,2,400,WA
318,1046,user115@example.co.ke,254778810474,acme,1200,4,4800,EA
319,1029,user79@example.co.ke,254775551200,globex,150,2,300,EA
320,1000,user73@example.co.ke,254717300509,initech,150,1,151,EA
321,1066,user46@example.co.ke,254724275753,acme,450,3,1350,WA
322,1074,user39@example.co.ke,254765463927,globex,5000,2,10000,WA
323,1046,user80@example.co.ke,254737405162,initech,5000,2,10000,WA
324,1001,user120@example.co.ke,254728085664,acme,1200,2,2400,EA
325,1012,user9@example.co.ke,0770512479,globex,200,2,400,EA
326,1103,user34@example.co.ke,254763949203,initech,200,3,600,EA
327,1105,user72@example.co.ke,254796563369,acme,150,1,150,WA
328,1074,user57@example.co.ke,254796651515,globex,450,5,2250,WA
329,1031,user22@example.co.ke,254776149430,initech,5000,5,25000,WA
330,1068,user4@example.co.ke,254718258217,acme,150,1,150,EA
331,1020,user8@example.co.ke,254741899367,globex,1200,2,2400,EA
332,1070,user85@example.co.ke,254792227093,initech,150,1,150,EA
333,1025,user67@example.co.ke,254765455848,acme,200,2,400,WA
334,1082,user54@example.co.ke,254796918958,globex,5000,5,25000,WA
335,1039,user9@example.co.ke,254778259917,initech,5000,2,10000,WA
336,1091,user69@example.co.ke,254774146043,acme,450,1,450,EA
337,1095,user117@example.co.ke,254768605830,globex,150,4,600,EA
338,1057,user23@example.co.ke,254797983916,initech,1200,1,1200,EA
339,1029,user83@example.co.ke,254745088103,acme,200,1,200,WA
340,1114,user96@example.co.ke,254755032202,globex,150,1,150,WA
341,1081,user71@example.co.ke,254745700265,initech,450,1,450,WA
342,1037,user83@example.co.ke,254745607459,acme,1200,5,6000,EA
343,1001,user22@example.co.ke,254778105910,globex,200,1,200,EA
344,1120,user21@example.co.ke,254737216185,initech,450,2,900,EA
345,1042,user77@example.co.ke,254762171394,acme,450,2,900,WA
346,1117,user89@example.co.ke,254794650589,globex,200,4,800,WA
347,1107,user68@example.co.ke,254773369627,initech,5000,4,20000,WA
348,1092,user30@example.co.ke,254768681870,acme,150,1,150,EA
349,1050,user80@example.co.ke,254738449609,globex,5000,3,15000,EA
350,1116,user22@example.co.ke,0785860473,initech,5000,1,5000,EA
351,1014,user14@example.co.ke,254713610799,acme,200,1,200,WA
352,1018,user90@example.co.ke,254756286819,globex,5000,2,10000,WA
353,1017,user89@example.co.ke,254715590093,initech,150,1,150,WA
354,1008,user110@example.co.ke,254716266501,acme,150,1,150,EA
355,1104,user105@example.co.ke,254736751229,globex,5000,3,15000,EA
356,1013,user32@example.co.ke,254761518491,initech,5000,1,5000,EA
357,1004,user5@example.co.ke,254725028322,acme,200,2,400,WA
358,1012,user17@example.co.ke,254774037337,globex,150,3,450,WA
359,1040,user44@example.co.ke,254749521671,initech,150,2,300,WA
360,1044,user33@example.co.ke,254712807628,acme,1200,3,3601,EA
361,1116,user42@example.co.ke,254759395387,globex,450,1,450,EA
362,1108,user37@example.co.ke,254773898748,initech,5000,5,25000,EA
363,1003,user56@example.co.ke,254765421310,acme,5000,1,5000,WA
364,1060,user91@example.co.ke,254756544247,globex,5000,1,5000,WA
365,1027,user92@example.co.ke,254785980310,initech,150,5,750,WA
366,1021,user56@example.co.ke,254748535209,acme,150,5,750,EA
367,1036,user98@example.co.ke,254737116701,globex,150,5,750,EA
368,1062,user13@example.co.ke,254756681418,initech,150,1,150,EA
369,1075,user45@example.co.ke,254776381627,acme,1200,2,2400,WA
370,1120,user21@example.co.ke,254787578838,globex,5000,3,15000,WA
371,1063,user22@example.co.ke,254741075102,initech,450,2,900,WA
372,1100,user90@example.co.ke,254775805838,acme,150,1,150,EA
373,1041,user46@example.co.ke,254794279633,globex,5000,1,5000,EA
374,1114,user114@example.co.ke,254762962242,initech,150,4,600,EA
375,1003,user48@example.co.ke,0796686222,acme,150,4,600,WA
376,1054,user116@example.co.ke,254745325491,globex,200,3,600,WA
377,1048,user114@example.co.ke,254732965294,initech,5000,5,25000,WA
378,1068,user77@example.co.ke,254727029615,acme,200,4,800,EA
379,1074,user42@example.co.ke,254756772924,globex,5000,1,5000,EA
380,1084,user71@example.co.ke,254770439125,initech,5000,2,10000,EA
381,1056,user89@example.co.ke,254772163898,acme,450,2,900,WA
382,1016,user43@example.co.ke,254741007578,globex,450,5,2250,WA
383,1024,user35@example.co.ke,254778142798,initech,1200,2,2400,WA
384,1092,user20@example.co.ke,254730749300,acme,450,5,2250,EA
385,1066,user45@example.co.ke,254790919210,globex,200,3,600,EA
386,1024,user34@example.co.ke,254754033490,initech,200,2,400,EA
387,1013,user26@example.co.ke,254798301822,acme,150,2,300,WA
388,1101,user39@example.co.ke,254729907059,globex,1200,2,2400,WA
389,1025,user14@example.co.ke,254746751573,initech,450,4,1800,WA
390,1113,user50@example.co.ke,254737708439,acme,150,3,450,EA
391,1051,user110@example.co.ke,254711693465,globex,1200,1,1200,EA
392,1080,user38@example.co.ke,254777174168,initech,1200,2,2400,EA
393,1032,user78@example.co.ke,254729033755,acme,1200,1,1200,WA
394,1116,user110@example.co.ke,254742518840,globex,1200,1,1200,WA
395,1095,user83@example.co.ke,254788843095,initech,1200,5,6000,WA
396,1092,user84@example.co.ke,254799643448,acme,1200,2,2400,EA
397,1082,user16@example.co.ke,254734361182,globex,5000,2,10000,EA
398,1033,user81@example.co.ke,254752012065,initech,1200,4,4800,EA
399,1100,user52@example.co.ke,254742533856,acme,150,4,600,WA
400,1061,user59@example.co.ke,0766851924,globex,200,3,601,WA
401,1066,user87@example.co.ke,254764941311,initech,150,5,750,WA
402,1049,user107@example.co.ke,254711427017,acme,200,3,600,EA
403,1032,user70@example.co.ke,254715119806,globex,1200,1,1200,EA
404,1066,user45@example.co.ke,254736818248,initech,200,2,400,EA
405,1069,user27@example.co.ke,254771308603,acme,150,5,750,WA
406,1081,user102@example.co.ke,254712161771,globex,1200,5,6000,WA
407,1052,user95@example.co.ke,254756016792,initech,450,5,2250,WA
408,1050,user66@example.co.ke,254734669572,acme,1200,2,2400,EA
409,1081,user8@example.co.ke,254757710778,globex,150,5,750,EA
410,1051,user8@example.co.ke,254761249253,initech,450,3,1350,EA
411,1117,user54@example.co.ke,254766181191,acme,150,1,150,WA
412,1013,user29@example.co.ke,254745588834,globex,450,5,2250,WA
413,1028,user103@example.co.ke,254780743002,initech,450,4,1800,WA
414,1021,user17@example.co.ke,254738455873,acme,1200,4,4800,EA
415,1082,user72@example.co.ke,254772969404,globex,150,2,300,EA
416,1085,user82@example.co.ke,254757396536,initech,200,2,400,EA
417,1097,user71@example.co.ke,254749505957,acme,1200,4,4800,WA
418,1100,user109@example.co.ke,254757613224,globex,200,4,800,WA
419,1087,user33@example.co.ke,254760485796,initech,200,3,600,WA
420,1000,user104@example.co.ke,254774635095,acme,1200,2,2400,EA
421,1083,user39@example.co.ke,254742878944,globex,450,3,1350,EA
422,1054,user80@example.co.ke,254775084754,initech,450,4,1800,EA
423,1118,user39@example.co.ke,254730502182,acme,150,3,450,WA
